activity_id,customer_id,activity_type,activity_time
A001,C029,login,2023-06-01 10:01:00
A002,C060,logout,2023-06-01 10:02:00
A003,C032,logout,2023-06-01 10:03:00
A004,C120,,2023-06-01 10:04:00
A005,C079,login,
A006,C077,login,2023-06-01 10:06:00
A007,C112,login,
A008,C057,view_product,2023-06-01 10:08:00
A009,C100,,2023-06-01 10:09:00
A010,C030,add_to_cart,2023-06-01 10:10:00
A011,C105,add_to_cart,2023-06-01 10:11:00
A012,C085,view_product,2023-06-01 10:12:00
A013,C072,view_product,2023-06-01 10:13:00
A014,C064,login,2023-06-01 10:14:00
A015,C086,logout,2023-06-01 10:15:00
A016,C054,,2023-06-01 10:16:00
A017,C097,logout,2023-06-01 10:17:00
A018,C110,view_product,2023-06-01 10:18:00
A019,C072,logout,2023-06-01 10:19:00
A020,C018,logout,2023-06-01 10:20:00
A021,C083,login,2023-06-01 10:21:00
A022,C012,,2023-06-01 10:22:00
A023,C078,login,
A024,C098,view_product,2023-06-01 10:24:00
A025,C043,add_to_cart,
A026,C120,view_product,
A027,C097,logout,2023-06-01 10:27:00
A028,C091,view_product,2023-06-01 10:28:00
A029,C042,add_to_cart,2023-06-01 10:29:00
A030,C046,add_to_cart,2023-06-01 10:30:00
A031,C064,,2023-06-01 10:31:00
A032,C061,add_to_cart,2023-06-01 10:32:00
A033,C053,login,2023-06-01 10:33:00
A034,C019,login,2023-06-01 10:34:00
A035,C075,logout,
A036,C030,logout,2023-06-01 10:36:00
A037,C071,add_to_cart,2023-06-01 10:37:00
A038,C093,logout,2023-06-01 10:38:00
A039,C046,,2023-06-01 10:39:00
A040,C024,login,2023-06-01 10:40:00
A041,C010,login,2023-06-01 10:41:00
A042,C108,,
A043,C028,logout,2023-06-01 10:43:00
A044,C086,logout,
A045,C069,,2023-06-01 10:45:00
A046,C036,,2023-06-01 10:46:00
A047,C087,logout,2023-06-01 10:47:00
A048,C014,login,2023-06-01 10:48:00
A049,C080,add_to_cart,2023-06-01 10:49:00
A050,C051,login,2023-06-01 10:50:00
A051,C073,view_product,2023-06-01 10:51:00
A052,C088,login,2023-06-01 10:52:00
A053,C098,,2023-06-01 10:53:00
A054,C071,,
A055,C022,login,2023-06-01 10:55:00
A056,C101,add_to_cart,2023-06-01 10:56:00
A057,C013,login,2023-06-01 10:57:00
A058,C089,logout,2023-06-01 10:58:00
A059,C088,add_to_cart,2023-06-01 10:59:00
A060,C005,view_product,2023-06-01 10:00:00
A061,C027,view_product,2023-06-01 10:01:00
A062,C051,login,2023-06-01 10:02:00
A063,C073,logout,2023-06-01 10:03:00
A064,C050,view_product,2023-06-01 10:04:00
A065,C011,,2023-06-01 10:05:00
A066,C108,login,2023-06-01 10:06:00
A067,C077,logout,2023-06-01 10:07:00
A068,C082,add_to_cart,2023-06-01 10:08:00
A069,C030,add_to_cart,2023-06-01 10:09:00
A070,C024,,2023-06-01 10:10:00
A071,C103,view_product,
A072,C020,logout,2023-06-01 10:12:00
A073,C095,logout,
A074,C001,add_to_cart,2023-06-01 10:14:00
A075,C014,,2023-06-01 10:15:00
A076,C072,,
A077,C071,login,2023-06-01 10:17:00
A078,C111,,2023-06-01 10:18:00
A079,C100,login,2023-06-01 10:19:00
A080,C032,view_product,
A081,C035,add_to_cart,
A082,C022,logout,2023-06-01 10:22:00
A083,C101,login,2023-06-01 10:23:00
A084,C093,logout,
A085,C014,view_product,2023-06-01 10:25:00
A086,C043,logout,2023-06-01 10:26:00
A087,C043,logout,2023-06-01 10:27:00
A088,C077,view_product,2023-06-01 10:28:00
A089,C089,view_product,
A090,C051,add_to_cart,2023-06-01 10:30:00
A091,C063,view_product,2023-06-01 10:31:00
A092,C101,logout,2023-06-01 10:32:00
A093,C026,view_product,2023-06-01 10:33:00
A094,C094,logout,2023-06-01 10:34:00
A095,C103,add_to_cart,
A096,C109,logout,
A097,C039,view_product,
A098,C055,,2023-06-01 10:38:00
A099,C062,logout,2023-06-01 10:39:00
A100,C112,logout,2023-06-01 10:40:00
A101,C047,,2023-06-01 10:41:00
A102,C086,,2023-06-01 10:42:00
A103,C073,logout,2023-06-01 10:43:00
A104,C102,,
A105,C029,view_product,2023-06-01 10:45:00
A106,C099,view_product,
A107,C014,add_to_cart,2023-06-01 10:47:00
A108,C015,view_product,2023-06-01 10:48:00
A109,C101,view_product,2023-06-01 10:49:00
A110,C013,logout,2023-06-01 10:50:00
A111,C009,,2023-06-01 10:51:00
A112,C003,add_to_cart,2023-06-01 10:52:00
A113,C022,view_product,2023-06-01 10:53:00
A114,C043,logout,2023-06-01 10:54:00
A115,C052,,2023-06-01 10:55:00
A116,C051,login,2023-06-01 10:56:00
A117,C058,logout,2023-06-01 10:57:00
A118,C027,add_to_cart,2023-06-01 10:58:00
A119,C009,login,2023-06-01 10:59:00
A120,C047,,
