order_item_id,order_id,product_id,quantity
ORD7XS0G4,ORD90QC04,PROKLYY1C,10.0
ORD6Q062Y,ORDXM82OA,PROOZY79N,8.0
ORDWAF4IM,ORDKVBRGO,PROE4R07B,
ORDO4OL4R,ORDB2ON0M,,7.0
ORDBZDL4O,,PROBQWJAU,9.0
ORDRJUOC7,ORDWUA24L,PRO84YSPP,
,,PROZCL0RM,2.0
ORDPOZ8NY,,PROCFHUPP,2.0
ORDYPVP2J,ORDDKKHLG,,
,ORD8DHI9R,PROYSPR1L,10.0
,ORD4937ZN,,5.0
ORDKPFLA1,ORDHJMRBZ,PRO2QN27M,6.0
ORDU021MV,ORDNIUBQG,PRO9WSD2K,9.0
ORDVQCT82,ORDAPT3V2,PROJSJLZW,
ORD9FL5V1,ORDI2NBIU,PROY4QCG4,9.0
,,,4.0
,ORDVHKAFL,PROBUUYS5,5.0
ORDP9D0P7,ORDPL7UGB,PRO9XMCV0,10.0
ORDSSKLLU,ORDE88JTB,PRO4LV3BZ,6.0
ORD6UH8WN,ORDB9D4FM,PRO6ZFDPR,7.0
,ORDP43BH4,PROHCTH1W,7.0
ORD92EBSB,ORDLXUHSY,,3.0
ORD9GUB6L,ORD8OQM37,PRO4A37IE,8.0
ORDCECYWN,ORDX6HONL,PROW44QHT,
ORDV73D0P,,PROV3VTYR,5.0
ORDN1CMJV,ORDOK6MRW,,7.0
,ORDXQB2CL,PRO7532UK,2.0
ORDCL14YK,ORDLQ627J,,6.0
ORDBPLNCG,ORD6K410G,PROG69T42,
ORDP7EPMJ,ORDMKIQJV,PROA5YS6Q,4.0
ORD0TALKZ,ORDCFE34L,PRO9CD467,2.0
ORDH5OY5K,ORDJCDYM0,PRO0Q5IPT,10.0
ORDYLHFX1,ORDRGHIX4,PROM1Q3WS,1.0
ORDOMN0MZ,ORDQHKJI7,PROAAPMF7,
,ORD8DK4ON,,7.0
,,PROP4CIJK,6.0
ORDGDMYFS,ORD6YOANK,PRO47JWF0,7.0
ORDV0AXK2,,PROFKECPZ,
,,,3.0
ORDEGHP46,ORDAIWC4X,,1.0
,ORDCQEG6Z,PROAKD5QU,7.0
ORDZ7UXO1,ORDZFCQJ5,PROAVI987,
,ORDO5672S,,5.0
,,PRO2VZJFU,
ORDU0PNI1,ORDQABM3R,PRO09T437,4.0
ORDNFPU1W,ORDFUWU6O,PRON4KD3N,
ORD5C0RUW,,PRO4YSD7Q,
ORD21SMZT,ORD8HQ33U,PROUKPBNB,1.0
,,PROHIG0HI,4.0
ORD14B4QB,,PRODI8KE2,6.0
