order_id,customer_id,order_date,total_amount
ORD5CQ1FG,CUS6Q64GN,2024-08-17 00:00:00,22225.0
ORDM5P2AD,CUSNBY7OO,2024-07-13 00:00:00,23268.0
ORDF4PFPJ,CUSISXD9R,2024-02-04 00:00:00,4863.0
ORDDXFO83,,2024-10-26 00:00:00,44858.0
ORDOPKKMJ,CUSAS697E,2024-01-22 00:00:00,25629.0
ORD7XMU71,CUSQTIPEP,,26146.0
ORDVOE4BS,,2024-11-06 00:00:00,40874.0
ORDN4HCDO,CUSWKKTXV,2024-08-23 00:00:00,20899.0
,CUSNRW85J,2024-12-18 00:00:00,19615.0
ORD0DY6GX,CUSBZCEGB,2024-03-10 00:00:00,
ORDJ8GX17,CUS3SNZGJ,,
ORD77NVRB,CUSGE8MNY,,26909.0
ORDVP44U2,CUS6OYV13,2024-02-11 00:00:00,40752.0
ORDIH8CM2,CUSGKYTUS,2024-04-11 00:00:00,2833.0
ORDML941R,CUSGTCTTM,2024-01-13 00:00:00,
,CUS7QPSFY,2024-06-16 00:00:00,41817.0
,,2024-10-10 00:00:00,48488.0
ORDH2HV0Z,CUSYO1AIH,,
ORDUAY5HN,CUSE9LCHS,2024-10-25 00:00:00,25222.0
ORDQ8V89Z,CUS9DB0BW,2024-11-14 00:00:00,39088.0
,CUSBR2RRF,2024-05-09 00:00:00,
ORDW12Y7A,CUSMPCDUK,2024-11-09 00:00:00,46442.0
,,,46499.0
,,2024-03-02 00:00:00,13137.0
,CUSHYK2VE,,
ORDFIOU1X,,2024-02-29 00:00:00,12114.0
ORDVGV4AK,,,
,CUS6ZB8B0,2024-09-06 00:00:00,
ORD9QAQRJ,CUSUKB2R0,2024-10-25 00:00:00,
ORD5KEC2Z,CUSMDY4AR,2024-08-09 00:00:00,
ORD3SL9NP,,2024-09-15 00:00:00,23949.0
ORDIJXKOC,CUSLZ11K6,2024-02-21 00:00:00,19244.0
,CUS7ON1HQ,2024-10-26 00:00:00,9330.0
ORDVSSZW5,,2024-07-14 00:00:00,24323.0
ORD8YJXY0,CUSKL2ZJ9,2024-04-12 00:00:00,
ORD02LGWR,CUSKCDGUN,,
ORDSKOSD4,CUSHZAXIS,,32858.0
ORD2XHW9D,CUSNO3KX8,2024-12-05 00:00:00,46340.0
ORDQW7USZ,CUSZVVCIV,,49287.0
ORDIRBY97,CUSVS6K0H,2024-01-20 00:00:00,43978.0
ORD6NMOZI,CUSEHV0AE,2024-07-28 00:00:00,28811.0
ORDTMXJYB,CUS31F0ND,,39184.0
ORD3Y8CM1,,2024-02-24 00:00:00,32369.0
ORDT4O6AO,CUSM1Z8LU,2024-01-15 00:00:00,
ORDMA6SBG,CUSIMQL7U,2024-02-13 00:00:00,2069.0
ORDGZ9DY3,,,46389.0
,,2024-09-30 00:00:00,1652.0
ORD13L75U,CUS2V3IUJ,2024-03-09 00:00:00,
ORD75N39V,CUSQZEABU,2024-06-14 00:00:00,18894.0
ORDBXXSO1,CUSS56RN8,,21008.0
