product_id,product_name,category,price
P001,,Accessories,39848.0
P002,Backpack,Accessories,43853.0
P003,Speaker,Electronics,
P004,Watch,Grocery,
P005,Speaker,Accessories,35769.0
P006,Camera,Accessories,16588.0
P007,Mobile,Grocery,30955.0
P008,Tablet,Grocery,12417.0
P009,Watch,Accessories,39569.0
P010,Headphones,,47690.0
P011,Speaker,Grocery,32666.0
P012,,Fashion,16445.0
P013,Backpack,Accessories,49385.0
P014,Watch,Accessories,
P015,T-Shirt,,48905.0
P016,Backpack,Accessories,13221.0
P017,,Electronics,8795.0
P018,Laptop,Fashion,49834.0
P019,Laptop,Grocery,
P020,Laptop,,4782.0
P021,Mobile,,37386.0
P022,Mobile,Electronics,27774.0
P023,Backpack,Grocery,29514.0
P024,Backpack,Accessories,4447.0
P025,Mobile,Fashion,17843.0
P026,Shoes,,27272.0
P027,Backpack,Electronics,46831.0
P028,,Fashion,41463.0
P029,T-Shirt,Fashion,17908.0
P030,,Accessories,37803.0
P031,,Accessories,18341.0
P032,Camera,Electronics,48638.0
P033,,Fashion,38196.0
P034,Laptop,Accessories,11981.0
P035,Camera,Fashion,29066.0
P036,Camera,Grocery,22343.0
P037,Mobile,Accessories,32971.0
P038,Tablet,Electronics,21112.0
P039,Mobile,Grocery,575.0
P040,Speaker,,24209.0
P041,Camera,Electronics,
P042,Headphones,,41789.0
P043,T-Shirt,Accessories,36692.0
P044,T-Shirt,Electronics,8198.0
P045,Shoes,Accessories,18419.0
P046,Camera,Fashion,9979.0
P047,Backpack,Fashion,18604.0
P048,Tablet,Accessories,19036.0
P049,Backpack,Grocery,29764.0
P050,Watch,Grocery,21588.0
P051,T-Shirt,Fashion,
P052,Camera,Grocery,43995.0
P053,Shoes,,39178.0
P054,Mobile,,
P055,Shoes,,17868.0
P056,Tablet,Accessories,35471.0
P057,Watch,Grocery,2852.0
P058,T-Shirt,Accessories,
P059,Mobile,Electronics,45982.0
P060,,Electronics,25065.0
P061,T-Shirt,,5675.0
P062,Tablet,Fashion,
P063,Camera,Grocery,1115.0
P064,Camera,,23146.0
P065,Headphones,Grocery,30439.0
P066,T-Shirt,,25493.0
P067,Backpack,,43637.0
P068,Laptop,Electronics,49335.0
P069,Headphones,Fashion,23589.0
P070,T-Shirt,Fashion,41621.0
P071,Headphones,Electronics,
P072,Headphones,,9161.0
P073,Watch,Accessories,17340.0
P074,Camera,Accessories,22698.0
P075,Camera,Fashion,15285.0
P076,Tablet,,
P077,,Accessories,44562.0
P078,Tablet,,15823.0
P079,Backpack,Accessories,15007.0
P080,Camera,Accessories,
P081,Laptop,,15887.0
P082,Shoes,Accessories,49202.0
P083,Speaker,Fashion,
P084,Camera,,24783.0
P085,Camera,,45436.0
P086,,,8505.0
P087,,Fashion,39634.0
P088,Laptop,Fashion,37500.0
P089,Speaker,Fashion,15769.0
P090,Shoes,Electronics,9982.0
P091,Speaker,,
P092,Watch,Fashion,
P093,,Grocery,
P094,Camera,Electronics,15019.0
P095,Laptop,Accessories,
P096,Camera,Grocery,32630.0
P097,,Electronics,
P098,Headphones,Accessories,39650.0
P099,Camera,,
P100,Speaker,Fashion,15474.0
P101,Camera,Electronics,20981.0
P102,Watch,,
P103,Mobile,Accessories,
P104,Speaker,Electronics,44103.0
P105,Tablet,Electronics,39848.0
P106,Mobile,,32100.0
P107,Mobile,,18756.0
P108,Tablet,Electronics,43611.0
P109,,Accessories,20749.0
P110,,Fashion,
P111,,Fashion,30230.0
P112,Watch,Accessories,37697.0
P113,,Electronics,18332.0
P114,Tablet,Grocery,14627.0
P115,Mobile,Electronics,44965.0
P116,Speaker,Electronics,
P117,T-Shirt,Fashion,17245.0
P118,,,25417.0
P119,T-Shirt,,
P120,Laptop,Electronics,38232.0
